Thread Count,Execution Time (s)
1,11.563806
4,3.297990
8,2.379168
12,3.217713
16,3.151431
20,3.098688
24,3.303626
28,3.120926
32,3.360771
36,4.171432
40,4.082116
44,4.775886
48,5.312722
52,5.088060
56,5.382117
64,5.211086
