Thread Count,Execution Time (s)
1,73.2541
4,24.6114
8,14.5063
12,11.9119
16,11.0063
20,9.93725
24,10.6537
28,9.96229
32,10.2522
36,11.0671
40,11.095
44,13.164
48,11.3581
52,10.8802
56,10.2397
60,10.4702
64,11.4608
