Thread Count,Execution Time (s)
1,4.484953
4,1.412960
8,1.803846
12,2.185870
16,2.264987
20,1.733850
24,2.334520
28,1.787307
32,2.025481
36,3.004803
44,3.356208
48,3.864592
52,3.980187
56,4.120566
60,4.019572
64,3.764344
