Thread Count,Execution Time (s)
1,44.326728
4,11.500185
8,6.044846
12,4.410312
16,3.411139
20,3.039295
24,2.670423
28,2.675169
40,3.141884
48,4.190835
52,4.615338
56,4.275522
60,4.675587
