Thread Count,Execution Time (s)
1,3.799435
4,1.297578
8,1.984662
12,1.552322
16,2.174782
20,2.269634
24,2.085376
28,2.083749
32,1.596147
36,2.771474
40,3.236789
44,3.637762
48,3.284550
52,3.847290
56,3.932978
60,3.758496
64,3.714852
