Thread Count,Execution Time (s)
1,2.921897
4,2.411642
8,2.176518
12,2.257426
16,2.293499
20,2.149842
24,2.146238
28,2.235209
32,2.111779
36,2.423804
40,2.341177
44,2.364159
48,2.335825
52,2.349468
56,2.251447
60,1.942414
64,2.150037
