Thread Count,true Throughput,false Throughput
1,25194.883333,42308.966667
4,162805.166667,164895.116667
8,232182.983333,286838.450000
12,210713.166667,496497.316667
16,203811.133333,396399.916667
20,208818.583333,647350.233333
24,192444.883333,585895.316667
28,187557.983333,447747.250000
32,186376.383333,459651.116667
36,N/A,740693.983333
40,163140.783333,349759.300000
44,168852.000000,441998.883333
48,158283.466667,562311.866667
52,165741.683333,414015.716667
56,144711.600000,460411.550000
60,147961.066667,421596.416667
64,157958.900000,636204.500000
