Thread Count,true Throughput,false Throughput
1,N/A,1098.900000
4,N/A,4412.883333
12,N/A,12659.583333
20,N/A,20361.900000
24,24580.816667,N/A
28,28573.883333,28421.683333
32,32514.383333,N/A
36,36575.000000,N/A
40,40796.733333,N/A
48,N/A,48045.500000
52,52591.866667,52560.533333
56,N/A,55501.200000
64,64797.683333,N/A
